path,label,label_source,generator_id,prompt,gate_decision,filter_reason,metadata_json
images/red_square_000_seed20260528.png,red_square,prompt_direct,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,"a single centered red square icon on a plain dark neutral background, flat vector style, simple geometric shape, no text",retain,manual_audit_needed,"{""seed"":20260528,""sampler_name"":""euler"",""scheduler"":""normal"",""steps"":16,""cfg"":7.0,""negative_prompt"":""text, watermark, signature, logo, cropped, blurry, low quality, distorted shape, multiple objects, cluttered background, photorealistic person, animal"",""quality_mean"":0.19530581804661964,""quality_std"":0.1517889319375357,""foreground_fraction"":0.20190811157226562,""center_foreground_share"":1.0,""target_color_margin"":0.5058320454411824}"
images/red_square_001_seed20260529.png,red_square,prompt_direct,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,"a single centered red square icon on a plain dark neutral background, flat vector style, simple geometric shape, no text",reject,off_center_or_fragmented_foreground+weak_target_color_evidence,"{""seed"":20260529,""sampler_name"":""euler"",""scheduler"":""normal"",""steps"":16,""cfg"":7.0,""negative_prompt"":""text, watermark, signature, logo, cropped, blurry, low quality, distorted shape, multiple objects, cluttered background, photorealistic person, animal"",""quality_mean"":0.18290622187595737,""quality_std"":0.07548050989353446,""foreground_fraction"":0.2768745422363281,""center_foreground_share"":0.17857290475468787,""target_color_margin"":-0.008596461446626198}"
images/red_square_002_seed20260530.png,red_square,prompt_direct,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,"a single centered red square icon on a plain dark neutral background, flat vector style, simple geometric shape, no text",retain,manual_audit_needed,"{""seed"":20260530,""sampler_name"":""euler"",""scheduler"":""normal"",""steps"":16,""cfg"":7.0,""negative_prompt"":""text, watermark, signature, logo, cropped, blurry, low quality, distorted shape, multiple objects, cluttered background, photorealistic person, animal"",""quality_mean"":0.24599605385774106,""quality_std"":0.11507389468463154,""foreground_fraction"":0.21504592895507812,""center_foreground_share"":0.9569297358664609,""target_color_margin"":0.4055004012607171}"
images/red_square_003_seed20260531.png,red_square,prompt_direct,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,"a single centered red square icon on a plain dark neutral background, flat vector style, simple geometric shape, no text",reject,off_center_or_fragmented_foreground+weak_target_color_evidence,"{""seed"":20260531,""sampler_name"":""euler"",""scheduler"":""normal"",""steps"":16,""cfg"":7.0,""negative_prompt"":""text, watermark, signature, logo, cropped, blurry, low quality, distorted shape, multiple objects, cluttered background, photorealistic person, animal"",""quality_mean"":0.39236016366996007,""quality_std"":0.27721247879676236,""foreground_fraction"":0.2758026123046875,""center_foreground_share"":0.01727524204702628,""target_color_margin"":-0.29359303770773376}"
images/red_square_004_seed20260532.png,red_square,prompt_direct,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,"a single centered red square icon on a plain dark neutral background, flat vector style, simple geometric shape, no text",retain,manual_audit_needed,"{""seed"":20260532,""sampler_name"":""euler"",""scheduler"":""normal"",""steps"":16,""cfg"":7.0,""negative_prompt"":""text, watermark, signature, logo, cropped, blurry, low quality, distorted shape, multiple objects, cluttered background, photorealistic person, animal"",""quality_mean"":0.21991308374342577,""quality_std"":0.1262310324185155,""foreground_fraction"":0.2508964538574219,""center_foreground_share"":0.9069802800626416,""target_color_margin"":0.2325360875766826}"
images/red_square_005_seed20260533.png,red_square,prompt_direct,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,"a single centered red square icon on a plain dark neutral background, flat vector style, simple geometric shape, no text",retain,manual_audit_needed,"{""seed"":20260533,""sampler_name"":""euler"",""scheduler"":""normal"",""steps"":16,""cfg"":7.0,""negative_prompt"":""text, watermark, signature, logo, cropped, blurry, low quality, distorted shape, multiple objects, cluttered background, photorealistic person, animal"",""quality_mean"":0.25252009373085177,""quality_std"":0.11390265014847535,""foreground_fraction"":0.14163970947265625,""center_foreground_share"":0.9958254780500942,""target_color_margin"":0.4615322473192004}"
images/green_circle_000_seed20261528.png,green_circle,prompt_direct,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,"a single centered green circle icon on a plain dark neutral background, flat vector style, simple geometric shape, no text",retain,manual_audit_needed,"{""seed"":20261528,""sampler_name"":""euler"",""scheduler"":""normal"",""steps"":16,""cfg"":7.0,""negative_prompt"":""text, watermark, signature, logo, cropped, blurry, low quality, distorted shape, multiple objects, cluttered background, photorealistic person, animal"",""quality_mean"":0.2820696812050015,""quality_std"":0.08152887527180662,""foreground_fraction"":0.20766448974609375,""center_foreground_share"":0.9668981226349241,""target_color_margin"":0.11225643138089195}"
images/green_circle_001_seed20261529.png,green_circle,prompt_direct,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,"a single centered green circle icon on a plain dark neutral background, flat vector style, simple geometric shape, no text",retain,manual_audit_needed,"{""seed"":20261529,""sampler_name"":""euler"",""scheduler"":""normal"",""steps"":16,""cfg"":7.0,""negative_prompt"":""text, watermark, signature, logo, cropped, blurry, low quality, distorted shape, multiple objects, cluttered background, photorealistic person, animal"",""quality_mean"":0.28169310825322963,""quality_std"":0.11588330891680124,""foreground_fraction"":0.12491226196289062,""center_foreground_share"":0.8696900290120629,""target_color_margin"":0.22379280824855508}"
images/green_circle_002_seed20261530.png,green_circle,prompt_direct,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,"a single centered green circle icon on a plain dark neutral background, flat vector style, simple geometric shape, no text",reject,weak_target_color_evidence,"{""seed"":20261530,""sampler_name"":""euler"",""scheduler"":""normal"",""steps"":16,""cfg"":7.0,""negative_prompt"":""text, watermark, signature, logo, cropped, blurry, low quality, distorted shape, multiple objects, cluttered background, photorealistic person, animal"",""quality_mean"":0.4182511423148361,""quality_std"":0.31581543709130666,""foreground_fraction"":0.2800025939941406,""center_foreground_share"":0.5607961744390403,""target_color_margin"":-0.28360491427191686}"
images/green_circle_003_seed20261531.png,green_circle,prompt_direct,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,"a single centered green circle icon on a plain dark neutral background, flat vector style, simple geometric shape, no text",reject,off_center_or_fragmented_foreground+weak_target_color_evidence,"{""seed"":20261531,""sampler_name"":""euler"",""scheduler"":""normal"",""steps"":16,""cfg"":7.0,""negative_prompt"":""text, watermark, signature, logo, cropped, blurry, low quality, distorted shape, multiple objects, cluttered background, photorealistic person, animal"",""quality_mean"":0.3740605073816636,""quality_std"":0.2848202365188583,""foreground_fraction"":0.2794914245605469,""center_foreground_share"":0.2269234443883331,""target_color_margin"":-0.24470362442251833}"
